Trade Date,Display,Shares In Issue,Open Price,Close Price
14/05/2021,SHOP,"2,700,000.00",63.01,63.01
14/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
14/05/2021,PMDZ,"100,000,000.00",0.60,0.6
14/05/2021,ATEL,"104,000,000.00",29.48,29.48
14/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
14/05/2021,ZABR,"546,000,000.00",7.23,7.23
14/05/2021,MAFS,"50,000,000.00",2.88,2.88
14/05/2021,ZMBF,"300,579,610.00",1.12,1.12
14/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
14/05/2021,ZSUG,"316,571,385.40",2.56,2.56
14/05/2021,ZMRE,"45,000,000.00",2.80,2.8
14/05/2021,AECI,"20,406,600.00",24.21,24.21
14/05/2021,BATA,"76,107,600.00",2.60,2.6
14/05/2021,CHIL,"200,039,904.00",2.69,3.3
17/05/2021,REIZ,"56,460,198.00",0.80,0.8
17/05/2021,ZMFA,"27,090,100.00",4.78,4.78
17/05/2021,ZNCO,"1,443,750,041.28",0.85,0.7
17/05/2021,ZCCM,"160,800,286.00",38.00,38
17/05/2021,ZFCO,"400,000,000.00",1.95,1.95
17/05/2021,BATZ,"212,456,304.00",1.80,1.8
17/05/2021,NATB,"63,000,000.00",9.21,9.21
17/05/2021,PUMA,"500,000,000.00",1.47,1.47
17/05/2021,SHOP,"2,700,000.00",63.01,63.01
17/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
17/05/2021,PMDZ,"100,000,000.00",0.60,0.6
17/05/2021,ATEL,"104,000,000.00",29.48,29.48
17/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
17/05/2021,ZABR,"546,000,000.00",7.23,7.23
17/05/2021,MAFS,"50,000,000.00",2.88,2.88
17/05/2021,ZMBF,"300,579,610.00",1.12,1.12
17/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
17/05/2021,ZSUG,"316,571,385.40",2.56,2.57
17/05/2021,ZMRE,"45,000,000.00",2.80,2.8
17/05/2021,AECI,"20,406,600.00",24.21,24.21
17/05/2021,BATA,"76,107,600.00",2.60,2.6
17/05/2021,CHIL,"200,039,904.00",3.30,3.3
18/05/2021,REIZ,"56,460,198.00",0.80,0.8
18/05/2021,ZMFA,"27,090,100.00",4.78,4.78
18/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
18/05/2021,ZCCM,"160,800,286.00",38.00,38
18/05/2021,ZFCO,"400,000,000.00",1.95,1.95
18/05/2021,BATZ,"212,456,304.00",1.80,1.8
18/05/2021,NATB,"63,000,000.00",9.21,9.21
18/05/2021,PUMA,"500,000,000.00",1.47,1.47
18/05/2021,SHOP,"2,700,000.00",63.01,63.01
18/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
18/05/2021,PMDZ,"100,000,000.00",0.60,0.6
18/05/2021,ATEL,"104,000,000.00",29.48,29.48
18/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
18/05/2021,ZABR,"546,000,000.00",7.23,7.23
18/05/2021,MAFS,"50,000,000.00",2.88,2.88
18/05/2021,ZMBF,"300,579,610.00",1.12,1.12
18/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
18/05/2021,ZSUG,"316,571,385.40",2.57,2.57
18/05/2021,ZMRE,"45,000,000.00",2.80,2.8
18/05/2021,AECI,"20,406,600.00",24.21,24.21
18/05/2021,BATA,"76,107,600.00",2.60,2.6
18/05/2021,CHIL,"200,039,904.00",3.30,3.3
19/05/2021,REIZ,"56,460,198.00",0.80,0.8
19/05/2021,ZMFA,"27,090,100.00",4.78,4.78
19/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
19/05/2021,ZCCM,"160,800,286.00",38.00,38
19/05/2021,ZFCO,"400,000,000.00",1.95,1.95
19/05/2021,BATZ,"212,456,304.00",1.80,1.8
19/05/2021,NATB,"63,000,000.00",9.21,9.21
19/05/2021,PUMA,"500,000,000.00",1.47,1.47
19/05/2021,SHOP,"2,700,000.00",63.01,63.01
19/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
19/05/2021,PMDZ,"100,000,000.00",0.60,0.6
19/05/2021,ATEL,"104,000,000.00",29.48,29.48
19/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
19/05/2021,ZABR,"546,000,000.00",7.23,7.23
19/05/2021,MAFS,"50,000,000.00",2.88,2.88
19/05/2021,ZMBF,"300,579,610.00",1.12,1.12
19/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
19/05/2021,ZSUG,"316,571,385.40",2.56,2.56
19/05/2021,ZMRE,"45,000,000.00",2.80,2.8
19/05/2021,AECI,"20,406,600.00",24.21,24.21
19/05/2021,BATA,"76,107,600.00",2.60,2.6
19/05/2021,CHIL,"200,039,904.00",3.30,3.3
20/05/2021,REIZ,"56,460,198.00",0.80,0.8
20/05/2021,ZMFA,"27,090,100.00",4.78,4.78
20/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
20/05/2021,ZCCM,"160,800,286.00",38.00,38
20/05/2021,ZFCO,"400,000,000.00",1.95,1.95
20/05/2021,BATZ,"212,456,304.00",1.80,1.8
20/05/2021,NATB,"63,000,000.00",9.21,9.21
20/05/2021,PUMA,"500,000,000.00",1.47,1.47
20/05/2021,SHOP,"2,700,000.00",63.01,63.01
20/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
20/05/2021,PMDZ,"100,000,000.00",0.60,0.6
20/05/2021,ATEL,"104,000,000.00",29.48,29.48
20/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
20/05/2021,ZABR,"546,000,000.00",7.23,7.23
20/05/2021,MAFS,"50,000,000.00",2.88,2.88
20/05/2021,ZMBF,"300,579,610.00",1.12,1.12
20/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
20/05/2021,ZSUG,"316,571,385.40",2.56,2.56
20/05/2021,ZMRE,"45,000,000.00",2.80,2.8
20/05/2021,AECI,"20,406,600.00",24.21,24.21
20/05/2021,BATA,"76,107,600.00",2.60,2.6
20/05/2021,CHIL,"200,039,904.00",3.30,3.3
21/05/2021,REIZ,"56,460,198.00",0.80,0.8
21/05/2021,ZMFA,"27,090,100.00",4.78,4.78
21/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
21/05/2021,ZCCM,"160,800,286.00",38.00,38
21/05/2021,ZFCO,"400,000,000.00",1.95,1.95
21/05/2021,BATZ,"212,456,304.00",1.80,1.8
21/05/2021,NATB,"63,000,000.00",9.21,9.21
21/05/2021,PUMA,"500,000,000.00",1.47,1.47
21/05/2021,SHOP,"2,700,000.00",63.01,63.01
21/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
21/05/2021,PMDZ,"100,000,000.00",0.60,0.6
21/05/2021,ATEL,"104,000,000.00",29.48,29.48
21/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
21/05/2021,ZABR,"546,000,000.00",7.23,7.23
21/05/2021,MAFS,"50,000,000.00",2.88,2.88
21/05/2021,ZMBF,"300,579,610.00",1.12,1.12
21/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
21/05/2021,ZSUG,"316,571,385.40",2.56,2.56
21/05/2021,ZMRE,"45,000,000.00",2.80,2.8
21/05/2021,AECI,"20,406,600.00",24.21,24.21
21/05/2021,BATA,"76,107,600.00",2.60,2.6
21/05/2021,CHIL,"200,039,904.00",3.30,3.3
24/05/2021,REIZ,"56,460,198.00",0.80,0.8
24/05/2021,ZMFA,"27,090,100.00",4.78,4.78
24/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
24/05/2021,ZCCM,"160,800,286.00",38.00,38
24/05/2021,ZFCO,"400,000,000.00",1.95,1.95
24/05/2021,BATZ,"212,456,304.00",1.80,1.8
24/05/2021,NATB,"63,000,000.00",9.21,9.21
24/05/2021,PUMA,"500,000,000.00",1.47,1.47
24/05/2021,SHOP,"2,700,000.00",63.01,63.01
24/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
24/05/2021,PMDZ,"100,000,000.00",0.60,0.6
24/05/2021,ATEL,"104,000,000.00",29.48,29.48
24/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
24/05/2021,ZABR,"546,000,000.00",7.23,7.23
24/05/2021,MAFS,"50,000,000.00",2.88,2.88
24/05/2021,ZMBF,"300,579,610.00",1.12,1.12
24/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
24/05/2021,ZSUG,"316,571,385.40",2.56,2.56
24/05/2021,ZMRE,"45,000,000.00",2.80,2.8
24/05/2021,AECI,"20,406,600.00",24.21,24.21
24/05/2021,BATA,"76,107,600.00",2.60,2.6
24/05/2021,CHIL,"200,039,904.00",3.30,3.3
26/05/2021,REIZ,"56,460,198.00",0.80,0.8
26/05/2021,ZMFA,"27,090,100.00",4.78,4.78
26/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
26/05/2021,ZCCM,"160,800,286.00",38.00,38
26/05/2021,ZFCO,"400,000,000.00",1.95,1.95
26/05/2021,BATZ,"212,456,304.00",1.80,1.8
26/05/2021,NATB,"63,000,000.00",9.21,9.21
26/05/2021,PUMA,"500,000,000.00",1.47,1.47
26/05/2021,SHOP,"2,700,000.00",63.01,63.01
26/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
26/05/2021,PMDZ,"100,000,000.00",0.60,0.6
26/05/2021,ATEL,"104,000,000.00",29.48,29.48
26/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
26/05/2021,ZABR,"546,000,000.00",7.23,7.23
26/05/2021,MAFS,"50,000,000.00",2.88,2.88
26/05/2021,ZMBF,"300,579,610.00",1.12,1.12
26/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
26/05/2021,ZSUG,"316,571,385.40",2.56,2.56
26/05/2021,ZMRE,"45,000,000.00",2.80,2.8
26/05/2021,AECI,"20,406,600.00",24.21,24.21
26/05/2021,BATA,"76,107,600.00",2.60,2.6
26/05/2021,CHIL,"200,039,904.00",3.30,4.1
27/05/2021,REIZ,"56,460,198.00",0.80,0.8
27/05/2021,ZMFA,"27,090,100.00",4.78,4.78
27/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
27/05/2021,ZCCM,"160,800,286.00",38.00,38
27/05/2021,ZFCO,"400,000,000.00",1.95,1.95
27/05/2021,BATZ,"212,456,304.00",1.80,1.8
27/05/2021,NATB,"63,000,000.00",9.21,9.21
27/05/2021,PUMA,"500,000,000.00",1.47,1.47
27/05/2021,SHOP,"2,700,000.00",63.01,63.01
27/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
27/05/2021,PMDZ,"100,000,000.00",0.60,0.6
27/05/2021,ATEL,"104,000,000.00",29.48,29.48
27/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
27/05/2021,ZABR,"546,000,000.00",7.23,7.23
27/05/2021,MAFS,"50,000,000.00",2.88,2.88
27/05/2021,ZMBF,"300,579,610.00",1.12,1.12
27/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
27/05/2021,ZSUG,"316,571,385.40",2.56,2.56
27/05/2021,ZMRE,"45,000,000.00",2.80,2.8
27/05/2021,AECI,"20,406,600.00",24.21,24.21
27/05/2021,BATA,"76,107,600.00",2.60,2.6
27/05/2021,CHIL,"200,039,904.00",4.10,5
28/05/2021,REIZ,"56,460,198.00",0.80,0.8
28/05/2021,ZMFA,"27,090,100.00",4.78,4.78
28/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
28/05/2021,ZCCM,"160,800,286.00",38.00,38
28/05/2021,ZFCO,"400,000,000.00",1.95,1.95
28/05/2021,BATZ,"212,456,304.00",1.80,1.8
28/05/2021,NATB,"63,000,000.00",9.21,9.21
28/05/2021,PUMA,"500,000,000.00",1.47,1.47
28/05/2021,SHOP,"2,700,000.00",63.01,63.01
28/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
28/05/2021,PMDZ,"100,000,000.00",0.60,0.6
28/05/2021,ATEL,"104,000,000.00",29.48,29.48
28/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
28/05/2021,ZABR,"546,000,000.00",7.23,6.5
28/05/2021,MAFS,"50,000,000.00",2.88,2.88
28/05/2021,ZMBF,"300,579,610.00",1.12,1.12
28/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
28/05/2021,ZSUG,"316,571,385.40",2.56,2.56
28/05/2021,ZMRE,"45,000,000.00",2.80,2.8
28/05/2021,AECI,"20,406,600.00",24.21,24.21
28/05/2021,BATA,"76,107,600.00",2.60,2.6
28/05/2021,CHIL,"200,039,904.00",5.00,5
31/05/2021,REIZ,"56,460,198.00",0.80,0.8
31/05/2021,ZMFA,"27,090,100.00",4.78,4.78
31/05/2021,ZNCO,"1,443,750,041.28",0.70,0.7
31/05/2021,ZCCM,"160,800,286.00",38.00,38
31/05/2021,ZFCO,"400,000,000.00",1.95,1.95
31/05/2021,BATZ,"212,456,304.00",1.80,1.8
31/05/2021,NATB,"63,000,000.00",9.21,9.21
31/05/2021,PUMA,"500,000,000.00",1.47,1.47
31/05/2021,SHOP,"2,700,000.00",63.01,63.01
31/05/2021,CCAF,"1,625,000,597.00",0.17,0.17
31/05/2021,PMDZ,"100,000,000.00",0.60,0.6
31/05/2021,ATEL,"104,000,000.00",29.48,29.48
31/05/2021,CECZ,"1,625,000,597.00",1.25,1.25
31/05/2021,ZABR,"546,000,000.00",6.50,7.23
31/05/2021,MAFS,"50,000,000.00",2.88,2.88
31/05/2021,ZMBF,"300,579,610.00",1.12,1.12
31/05/2021,SCBL,"1,666,980,000.00",1.34,1.34
31/05/2021,ZSUG,"316,571,385.40",2.56,2.56
31/05/2021,ZMRE,"45,000,000.00",2.80,2.8
31/05/2021,AECI,"20,406,600.00",24.21,24.21
